iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
78,78.9603,738.25,0.103266,0.208333,0.125,0.0767397,0.245755,0.858407,-0.0115455,-15.8174,1e-05,0.0214853,0.100496,9177.6,1.00343,0.335486,-1,0.2,99.1568,958464,1.41598,1.20416,1.43351,0.599191,-0.704823
79,48.1623,580.8,0.101401,0.25,0.375,0.080712,0.256389,1.09018,-0.0102181,-15.8156,1e-05,0.0160658,0.100506,9535.08,0.904774,0.383941,-1,0.2,100.447,970752,1.05051,0.76301,1.12772,0.361123,-0.894247
80,39.4677,516.6,0.103857,0.0416667,0.375,0.0782879,0.233714,0.905663,-0.0117883,-15.8141,1e-05,0.0113913,0.100514,9831.08,0.856438,0.393476,-1,0.2,101.698,983040,0.928701,0.696534,0.997522,0.327695,-0.977068
81,49.2186,565.5,0.103669,0.0833333,0.25,0.0767457,0.24414,0.875951,-0.012288,-15.8129,1e-05,0.0193055,0.10052,11195.7,0.773563,0.324004,-1,0.2,102.797,995328,1.04308,0.831723,1.09421,0.356443,-0.864528
82,42.0614,495.6,0.103597,0.0833333,0.541667,0.078301,0.233068,0.815254,-0.0104642,-15.8116,1e-05,0.0114122,0.100528,10014.9,0.825977,0.400992,-1,0.2,104.026,1.00762e+06,0.901627,0.711644,0.95645,0.353623,-0.820272
83,65.9302,609.143,0.106071,0.125,0.166667,0.0767507,0.222933,0.648617,-0.0109969,-15.8102,1e-05,0.0152883,0.100535,9207.89,0.948608,0.3859,-1,0.2,105.362,1.0199e+06,1.15951,1.03806,1.18069,0.501341,-0.583086
84,108.916,965.112,0.10291,3.16667,0.166667,0.0830497,0.236973,0.877394,-0.0111129,-15.809,1e-05,0.010718,0.100542,9190.97,0.985871,0.351094,-1,0.2,106.7,1.03219e+06,1.86513,1.67591,1.87946,0.763945,-0.738664
85,65.4544,682.933,0.100284,0.291667,0.333333,0.0895976,0.272468,0.975433,-0.0109133,-15.8077,1e-05,0.0130268,0.100549,10418.4,0.818365,0.361087,-1,0.2,107.881,1.04448e+06,1.26434,1.05986,1.32485,0.474639,-0.850969
86,66.8215,642.263,0.10216,0.375,0.416667,0.0875525,0.253082,0.832211,-0.0110614,-15.8065,1e-05,0.0113516,0.100558,10044.9,0.872756,0.350557,-1,0.2,109.105,1.05677e+06,1.2278,1.04649,1.24731,0.492383,-0.672898
87,64.8572,601.333,0.100257,0.333333,0.291667,0.088012,0.289278,1.08206,-0.0105486,-15.8046,1e-05,0.0160724,0.100568,10931.9,0.807538,0.316509,-1,0.2,110.231,1.06906e+06,1.14367,1.01451,1.16607,0.47914,-0.560532
